id,country,year,gdp_growth,employment_thousands,sector
439,South Africa,1979,3.7905192640578207,271.140634106224,Finance and business services
440,South Africa,1979,3.7905192640578207,1324.391026222904,Other services
441,South Africa,1978,3.014479779129232,6210.353515625,Total
442,South Africa,1978,3.014479779129232,985.1472515935552,Agriculture
443,South Africa,1978,3.014479779129232,436.5135279435482,Mining
444,South Africa,1978,3.014479779129232,1217.2713885047444,Manufacturing
445,South Africa,1978,3.014479779129232,42.554097905277374,Utilities
446,South Africa,1978,3.014479779129232,317.88458631429074,Construction
447,South Africa,1978,3.014479779129232,1303.9859303001465,Trade services
448,South Africa,1978,3.014479779129232,325.7447025401348,Transport services
449,South Africa,1978,3.014479779129232,258.2316850525454,Finance and business services
450,South Africa,1978,3.014479779129232,1323.0203676597048,Other services
451,South Africa,1986,0.0178492401652192,7341.61181640625,Total
452,South Africa,1986,0.0178492401652192,998.7592870979812,Agriculture
453,South Africa,1986,0.0178492401652192,514.9713524461404,Mining
454,South Africa,1986,0.0178492401652192,1433.6685934658751,Manufacturing
455,South Africa,1986,0.0178492401652192,59.77493918986013,Utilities
456,South Africa,1986,0.0178492401652192,476.57747862558256,Construction
457,South Africa,1986,0.0178492401652192,1509.7039982694128,Trade services
458,South Africa,1986,0.0178492401652192,398.6787402364697,Transport services
459,South Africa,1986,0.0178492401652192,402.55395600115486,Finance and business services
460,South Africa,1986,0.0178492401652192,1546.9235350752083,Other services
461,South Africa,1977,-0.0939791161255811,6119.21728515625,Total
462,South Africa,1977,-0.0939791161255811,1016.1469769507494,Agriculture
463,South Africa,1977,-0.0939791161255811,419.7902745754385,Mining
464,South Africa,1977,-0.0939791161255811,1175.5125045862787,Manufacturing
465,South Africa,1977,-0.0939791161255811,40.48747518217197,Utilities
466,South Africa,1977,-0.0939791161255811,362.9370820669054,Construction
467,South Africa,1977,-0.0939791161255811,1255.1503862565655,Trade services
468,South Africa,1977,-0.0939791161255811,321.2265717514629,Transport services
469,South Africa,1977,-0.0939791161255811,246.2201505477438,Finance and business services
470,South Africa,1977,-0.0939791161255811,1281.745659459123,Other services
471,South Africa,1975,1.6954337793109886,5972.54833984375,Total
472,South Africa,1975,1.6954337793109886,1067.9332315769889,Agriculture
473,South Africa,1975,1.6954337793109886,359.48303027981365,Mining
474,South Africa,1975,1.6954337793109886,1106.2206952998886,Manufacturing
475,South Africa,1975,1.6954337793109886,36.494804429530014,Utilities
476,South Africa,1975,1.6954337793109886,467.6712908502331,Construction
477,South Africa,1975,1.6954337793109886,1185.574155557564,Trade services
